,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
0,Entire home/apt,4044.0,0.0,99.0,1.0,4.8,1.0,0.0,Entire villa
1,Entire home/apt,18000.0,1.0,92.0,5.5,4.7,1.0,0.0,Entire home
2,Entire home/apt,2123.0,1.0,56.0,1.0,4.76,1.0,0.0,Entire rental unit
3,Entire home/apt,1236.0,1.0,94.0,1.0,4.96,1.0,0.0,Entire rental unit
5,Entire home/apt,4056.0,1.0,97.0,5.0,4.84,1.0,0.0,Entire home
7,Entire home/apt,1777.0,1.0,96.0,1.5,4.74,1.0,0.0,Entire loft
8,Entire home/apt,4985.0,1.0,82.0,3.5,4.96,1.0,0.0,Entire rental unit
9,Entire home/apt,1150.0,1.0,99.0,1.0,4.85,1.0,1.0,Entire rental unit
11,Entire home/apt,3654.0,1.0,100.0,1.0,4.94,1.0,0.0,Entire rental unit
15,Entire home/apt,1290.0,1.0,100.0,2.0,4.71,1.0,0.0,Entire condo
17,Entire home/apt,1114.0,1.0,100.0,1.0,4.64,1.0,0.0,Entire rental unit
18,Entire home/apt,1114.0,1.0,100.0,1.0,4.58,1.0,0.0,Entire loft
19,Entire home/apt,1114.0,1.0,100.0,1.0,4.81,1.0,0.0,Entire rental unit
20,Entire home/apt,800.0,1.0,98.0,1.0,4.66,1.0,0.0,Entire rental unit
21,Entire home/apt,780.0,0.0,80.0,1.0,4.31,1.0,0.0,Entire rental unit
22,Entire home/apt,1442.0,0.0,100.0,1.0,4.86,1.0,0.0,Entire rental unit
23,Entire home/apt,1297.0,0.0,100.0,1.0,4.88,1.0,0.0,Entire condo
24,Entire home/apt,809.0,1.0,82.0,1.0,4.97,1.0,0.0,Entire rental unit
25,Entire home/apt,4044.0,1.0,97.0,4.5,4.89,1.0,0.0,Entire home
26,Entire home/apt,1233.0,0.0,58.0,1.0,4.76,1.0,0.0,Entire rental unit
27,Entire home/apt,800.0,0.0,0.0,0.0,5.0,1.0,0.0,Entire condo
28,Entire home/apt,1114.0,0.0,99.0,0.0,4.8,0.0,0.0,Entire rental unit
30,Entire home/apt,768.0,0.0,100.0,1.0,4.65,1.0,0.0,Entire guest suite
31,Entire home/apt,1114.0,0.0,0.0,1.0,4.68,1.0,0.0,Entire rental unit
32,Entire home/apt,910.0,0.0,100.0,1.0,4.21,1.0,0.0,Entire home
33,Entire home/apt,999.0,0.0,100.0,1.0,4.66,1.0,1.0,Entire rental unit
34,Entire home/apt,6633.0,0.0,0.0,2.5,4.91,1.0,0.0,Entire home
36,Entire home/apt,11824.0,0.0,83.0,2.5,4.83,1.0,1.0,Entire rental unit
38,Entire home/apt,1300.0,0.0,79.0,2.0,4.7,1.0,0.0,Entire condo
40,Entire home/apt,1114.0,0.0,99.0,2.0,4.88,0.0,0.0,Entire rental unit
41,Entire home/apt,804.0,1.0,98.0,1.0,4.62,1.0,0.0,Entire rental unit
48,Entire home/apt,1130.0,0.0,79.0,1.0,4.55,1.0,0.0,Entire rental unit
49,Entire home/apt,1600.0,0.0,79.0,2.0,4.71,1.0,0.0,Entire rental unit
50,Entire home/apt,865.0,1.0,100.0,1.0,4.76,1.0,0.0,Entire condo
51,Entire home/apt,3438.0,0.0,56.0,5.5,4.75,1.0,0.0,Entire home
53,Entire home/apt,1415.0,0.0,92.0,1.0,4.29,1.0,0.0,Entire serviced apartment
56,Entire home/apt,1618.0,1.0,97.0,2.0,4.91,1.0,0.0,Entire rental unit
59,Entire home/apt,1114.0,1.0,100.0,1.0,4.85,1.0,0.0,Entire condo
60,Entire home/apt,1517.0,0.0,50.0,1.0,4.5,1.0,0.0,Entire rental unit
64,Entire home/apt,1072.0,0.0,100.0,1.0,4.85,1.0,0.0,Entire condo
65,Entire home/apt,1391.0,0.0,99.0,1.0,4.41,1.0,0.0,Entire loft
66,Entire home/apt,900.0,0.0,0.0,1.0,4.51,1.0,0.0,Entire rental unit
67,Entire home/apt,850.0,0.0,0.0,1.0,4.72,1.0,0.0,Entire rental unit
68,Entire home/apt,971.0,0.0,0.0,1.0,4.56,1.0,0.0,Entire rental unit
69,Entire home/apt,910.0,0.0,100.0,1.0,4.71,1.0,0.0,Entire rental unit
71,Entire home/apt,1719.0,1.0,95.0,1.5,4.94,1.0,0.0,Entire rental unit
73,Entire home/apt,988.0,0.0,97.0,1.0,4.69,1.0,0.0,Entire rental unit
74,Entire home/apt,1040.0,0.0,99.0,1.0,4.88,1.0,0.0,Entire rental unit
75,Entire home/apt,3842.0,0.0,0.0,2.0,4.84,1.0,0.0,Entire rental unit
78,Entire home/apt,1213.0,0.0,92.0,1.0,4.92,1.0,1.0,Entire serviced apartment
80,Entire home/apt,3438.0,0.0,56.0,5.5,4.8,1.0,0.0,Entire home
81,Entire home/apt,1824.0,1.0,83.0,1.0,4.95,1.0,0.0,Entire rental unit
82,Entire home/apt,993.0,1.0,100.0,1.0,4.72,1.0,1.0,Entire serviced apartment
85,Entire home/apt,1114.0,0.0,99.0,1.0,4.74,1.0,0.0,Entire rental unit
86,Entire home/apt,2022.0,0.0,63.0,2.0,4.84,1.0,0.0,Entire rental unit
87,Entire home/apt,1500.0,0.0,100.0,2.5,5.0,1.0,1.0,Entire rental unit
88,Entire home/apt,1684.0,1.0,100.0,1.0,4.92,1.0,0.0,Tiny home
89,Entire home/apt,1949.0,1.0,89.0,2.5,4.95,1.0,0.0,Entire home
90,Entire home/apt,7583.0,0.0,80.0,4.5,5.0,1.0,0.0,Entire home
95,Entire home/apt,4954.0,1.0,94.0,3.5,5.0,1.0,0.0,Entire home
98,Entire home/apt,850.0,1.0,100.0,1.0,4.98,1.0,0.0,Entire condo
99,Entire home/apt,1114.0,0.0,50.0,1.0,4.89,0.0,0.0,Entire rental unit
100,Entire home/apt,1114.0,0.0,50.0,1.0,5.0,0.0,0.0,Entire loft
101,Entire home/apt,1114.0,0.0,50.0,1.0,4.95,0.0,0.0,Entire loft
102,Entire home/apt,800.0,0.0,99.0,1.0,4.89,1.0,0.0,Entire guest suite
103,Entire home/apt,2990.0,1.0,61.0,2.0,4.74,1.0,0.0,Entire loft
104,Entire home/apt,1491.0,1.0,99.0,1.0,4.95,1.0,0.0,Entire rental unit
106,Entire home/apt,900.0,0.0,0.0,1.0,4.39,1.0,0.0,Entire rental unit
108,Entire home/apt,1439.0,0.0,98.0,1.0,4.89,1.0,1.0,Entire rental unit
109,Entire home/apt,1228.0,1.0,75.0,1.0,4.65,1.0,0.0,Entire rental unit
110,Entire home/apt,3620.0,1.0,100.0,1.5,4.91,1.0,0.0,Entire rental unit
113,Entire home/apt,1114.0,0.0,99.0,1.0,4.17,1.0,0.0,Entire rental unit
114,Entire home/apt,465.0,0.0,100.0,1.0,4.68,1.0,1.0,Entire loft
115,Entire home/apt,1500.0,1.0,96.0,1.0,4.85,1.0,0.0,Entire rental unit
116,Entire home/apt,850.0,0.0,99.0,1.0,4.67,1.0,0.0,Entire guest suite
117,Entire home/apt,748.0,0.0,99.0,1.0,4.78,1.0,0.0,Entire loft
118,Entire home/apt,2019.0,1.0,98.0,3.0,4.89,1.0,0.0,Entire rental unit
120,Entire home/apt,3438.0,0.0,56.0,5.5,4.75,1.0,0.0,Entire home
121,Entire home/apt,1087.0,1.0,79.0,1.0,4.88,1.0,0.0,Entire loft
122,Entire home/apt,1530.0,0.0,100.0,1.0,4.95,1.0,0.0,Entire rental unit
123,Entire home/apt,10000.0,1.0,95.0,1.5,4.96,1.0,0.0,Entire condo
124,Entire home/apt,1103.0,1.0,100.0,2.0,4.84,1.0,0.0,Entire loft
128,Entire home/apt,950.0,1.0,100.0,1.0,4.51,1.0,0.0,Entire serviced apartment
129,Entire home/apt,6714.0,1.0,91.0,2.5,4.4,1.0,0.0,Entire home
130,Entire home/apt,1743.0,1.0,100.0,1.0,4.92,1.0,0.0,Entire loft
132,Entire home/apt,1050.0,1.0,90.0,1.0,4.57,1.0,0.0,Entire rental unit
133,Entire home/apt,1100.0,1.0,79.0,2.0,4.94,1.0,0.0,Entire rental unit
134,Entire home/apt,1485.0,1.0,99.0,1.0,4.9,1.0,0.0,Entire rental unit
136,Entire home/apt,1530.0,1.0,99.0,1.0,4.91,1.0,0.0,Entire rental unit
137,Entire home/apt,1375.0,0.0,98.0,1.0,4.94,1.0,1.0,Entire condo
139,Entire home/apt,2083.0,0.0,99.0,1.0,4.93,1.0,0.0,Entire loft
142,Entire home/apt,2528.0,0.0,59.0,1.0,5.0,1.0,0.0,Entire rental unit
143,Entire home/apt,1965.0,1.0,100.0,1.5,4.84,1.0,0.0,Entire loft
147,Entire home/apt,1193.0,0.0,100.0,2.0,4.63,1.0,0.0,Entire rental unit
148,Entire home/apt,1600.0,0.0,50.0,1.0,4.88,1.0,0.0,Entire rental unit
149,Entire home/apt,1000.0,0.0,50.0,2.0,4.91,1.0,0.0,Entire rental unit
150,Entire home/apt,2770.0,1.0,98.0,2.0,4.79,1.0,1.0,Entire rental unit
151,Entire home/apt,1114.0,0.0,99.0,2.0,5.0,1.0,0.0,Entire rental unit
152,Entire home/apt,1459.0,0.0,98.0,1.0,4.9,1.0,1.0,Entire rental unit
155,Entire home/apt,1734.0,0.0,99.0,1.0,4.88,1.0,1.0,Entire rental unit
157,Entire home/apt,864.0,1.0,100.0,1.0,4.76,1.0,0.0,Entire rental unit
158,Entire home/apt,2002.0,0.0,99.0,1.0,4.83,1.0,1.0,Entire rental unit
159,Entire home/apt,1011.0,0.0,100.0,2.0,4.74,1.0,0.0,Entire condo
160,Entire home/apt,1213.0,0.0,59.0,1.0,4.78,1.0,0.0,Entire loft
162,Entire home/apt,2692.0,1.0,97.0,1.0,4.81,1.0,0.0,Entire loft
165,Entire home/apt,670.0,1.0,93.0,1.0,5.0,1.0,0.0,Entire guesthouse
169,Entire home/apt,829.0,0.0,91.0,1.0,4.82,1.0,0.0,Entire condo
170,Entire home/apt,503.0,0.0,100.0,1.0,4.71,1.0,0.0,Entire guest suite
171,Entire home/apt,1200.0,0.0,94.0,1.0,4.74,1.0,0.0,Entire loft
175,Entire home/apt,3134.0,1.0,100.0,1.0,4.95,1.0,1.0,Entire rental unit
176,Entire home/apt,3175.0,1.0,83.0,2.0,4.93,1.0,1.0,Entire rental unit
178,Entire home/apt,1114.0,0.0,99.0,1.5,4.81,1.0,0.0,Entire guesthouse
179,Entire home/apt,2832.0,1.0,98.0,2.0,4.95,1.0,0.0,Entire serviced apartment
181,Entire home/apt,850.0,0.0,100.0,1.0,4.94,1.0,0.0,Entire rental unit
183,Entire home/apt,1871.0,1.0,100.0,1.0,4.93,1.0,1.0,Entire loft
186,Entire home/apt,2516.0,1.0,100.0,1.0,4.9,1.0,0.0,Entire rental unit
189,Entire home/apt,780.0,1.0,100.0,1.0,4.93,1.0,0.0,Entire condo
190,Entire home/apt,1114.0,0.0,99.0,1.0,4.77,1.0,0.0,Entire rental unit
192,Entire home/apt,1686.0,1.0,96.0,1.0,4.76,1.0,0.0,Entire serviced apartment
195,Entire home/apt,420.0,1.0,100.0,1.0,4.89,1.0,0.0,Entire guest suite
196,Entire home/apt,2710.0,0.0,91.0,2.5,4.97,1.0,1.0,Entire condo
198,Entire home/apt,2650.0,0.0,74.0,2.0,4.82,1.0,1.0,Entire rental unit
200,Entire home/apt,1334.0,0.0,100.0,1.0,4.62,1.0,0.0,Entire condo
201,Entire home/apt,2299.0,0.0,100.0,1.0,5.0,1.0,1.0,Entire serviced apartment
202,Entire home/apt,891.0,0.0,97.0,1.0,4.81,1.0,0.0,Entire condo
203,Entire home/apt,1415.0,0.0,99.0,1.0,4.83,1.0,0.0,Entire rental unit
204,Entire home/apt,991.0,0.0,98.0,1.0,4.86,1.0,1.0,Entire rental unit
206,Entire home/apt,752.0,1.0,100.0,1.0,4.94,1.0,0.0,Entire condo
211,Entire home/apt,2551.0,1.0,100.0,1.0,4.84,1.0,0.0,Entire condo
212,Entire home/apt,900.0,1.0,100.0,1.0,4.81,1.0,1.0,Entire rental unit
213,Entire home/apt,1557.0,1.0,98.0,1.0,4.88,1.0,0.0,Entire rental unit
217,Entire home/apt,1114.0,0.0,99.0,2.0,5.0,1.0,0.0,Entire rental unit
218,Entire home/apt,2224.0,0.0,98.0,1.0,4.77,1.0,0.0,Entire loft
219,Entire home/apt,1460.0,1.0,100.0,2.0,4.78,1.0,0.0,Entire condo
220,Entire home/apt,1990.0,0.0,98.0,2.0,4.8,1.0,1.0,Entire rental unit
222,Entire home/apt,2022.0,0.0,97.0,1.0,4.66,1.0,1.0,Entire serviced apartment
224,Entire home/apt,1114.0,0.0,99.0,1.0,4.67,1.0,0.0,Entire serviced apartment
225,Entire home/apt,807.0,1.0,96.0,1.0,4.79,1.0,0.0,Entire bungalow
226,Entire home/apt,1011.0,0.0,0.0,1.0,4.85,1.0,0.0,Entire rental unit
227,Entire home/apt,823.0,0.0,100.0,1.0,4.83,1.0,0.0,Entire condo
229,Entire home/apt,2598.0,1.0,100.0,3.0,4.9,1.0,1.0,Entire serviced apartment
230,Entire home/apt,1656.0,1.0,97.0,2.0,4.82,1.0,1.0,Entire rental unit
231,Entire home/apt,1850.0,0.0,60.0,2.0,5.0,1.0,0.0,Entire rental unit
232,Entire home/apt,4659.0,1.0,100.0,2.0,4.94,1.0,0.0,Entire condo
234,Entire home/apt,754.0,0.0,91.0,1.0,4.84,1.0,0.0,Entire condo
235,Entire home/apt,1099.0,0.0,67.0,1.0,4.0,1.0,0.0,Entire rental unit
237,Entire home/apt,64584.0,0.0,97.0,1.0,4.68,1.0,1.0,Entire rental unit
238,Entire home/apt,1395.0,0.0,97.0,1.0,4.78,1.0,1.0,Entire rental unit
239,Entire home/apt,1650.0,0.0,97.0,2.0,4.59,1.0,1.0,Entire rental unit
