,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
4,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room
6,Private room,340.0,1.0,75.0,1.0,4.61,1.0,0.0,Private room in rental unit
10,Private room,550.0,0.0,100.0,1.0,4.6,1.0,0.0,Private room in guest suite
12,Private room,1007.0,0.0,100.0,1.0,4.66,1.0,0.0,Private room in rental unit
13,Private room,310.0,0.0,99.0,1.0,4.79,1.0,0.0,Private room in rental unit
16,Private room,404.0,0.0,99.0,1.0,4.83,1.0,0.0,Private room in rental unit
35,Private room,1114.0,0.0,99.0,2.5,4.8,0.0,0.0,Private room in condo
37,Private room,358.0,0.0,25.0,1.0,5.0,1.0,0.0,Private room in condo
39,Private room,1114.0,0.0,99.0,2.0,4.8,0.0,0.0,Private room in rental unit
42,Private room,1114.0,0.0,99.0,1.0,4.85,0.0,0.0,Private room in condo
43,Private room,506.0,1.0,100.0,1.5,4.83,1.0,0.0,Private room in townhouse
44,Private room,790.0,0.0,97.0,1.0,4.81,1.0,0.0,Private room in condo
45,Private room,1114.0,0.0,75.0,1.0,4.76,1.0,1.0,Private room in home
46,Private room,1300.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in home
47,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
54,Private room,809.0,0.0,99.0,1.5,4.2,1.0,0.0,Private room in rental unit
55,Private room,1011.0,0.0,0.0,1.5,5.0,1.0,0.0,Private room in home
57,Private room,15000.0,0.0,40.0,6.0,4.74,1.0,0.0,Private room in bed and breakfast
58,Private room,316.0,1.0,29.0,1.0,4.9,1.0,0.0,Private room in condo
61,Private room,667.0,0.0,0.0,1.5,4.94,1.0,0.0,Private room in rental unit
62,Private room,500.0,0.0,75.0,2.5,4.92,1.0,0.0,Private room in home
63,Private room,607.0,0.0,0.0,1.0,4.7,1.0,0.0,Private room in rental unit
70,Private room,1114.0,0.0,56.0,1.0,4.72,1.0,0.0,Private room in home
72,Private room,443.0,0.0,0.0,1.5,5.0,1.0,0.0,Private room in home
83,Private room,1143.0,0.0,70.0,1.0,4.8,1.0,0.0,Private room in rental unit
84,Private room,513.0,0.0,100.0,1.0,5.0,1.0,0.0,Private room in home
91,Private room,410.0,1.0,100.0,1.5,4.92,1.0,0.0,Private room in home
92,Private room,991.0,0.0,99.0,1.0,4.97,0.0,0.0,Private room in condo
93,Private room,1200.0,0.0,67.0,1.0,4.97,1.0,1.0,Private room in guest suite
94,Private room,526.0,1.0,80.0,1.0,4.78,1.0,0.0,Private room in rental unit
96,Private room,708.0,1.0,100.0,1.5,4.62,1.0,0.0,Private room in home
97,Private room,924.0,1.0,97.0,2.0,4.94,1.0,0.0,Private room in home
105,Private room,425.0,0.0,0.0,1.0,5.0,1.0,0.0,Private room in rental unit
107,Private room,1114.0,1.0,94.0,1.0,4.89,1.0,0.0,Private room in home
111,Private room,1114.0,0.0,96.0,1.5,5.0,1.0,0.0,Private room in home
112,Private room,425.0,0.0,0.0,1.0,5.0,1.0,0.0,Private room in rental unit
119,Private room,602.0,0.0,100.0,2.0,5.0,1.0,0.0,Private room in rental unit
125,Private room,1114.0,0.0,100.0,2.0,4.96,0.0,0.0,Private room in serviced apartment
126,Private room,1114.0,0.0,99.0,2.0,5.0,1.0,0.0,Private room in condo
127,Private room,1921.0,0.0,100.0,1.5,4.96,1.0,0.0,Private room in townhouse
131,Private room,500.0,1.0,100.0,2.0,5.0,1.0,1.0,Private room in bed and breakfast
138,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
140,Private room,2200.0,1.0,91.0,1.0,4.94,1.0,0.0,Private room in bed and breakfast
141,Private room,769.0,1.0,64.0,1.0,4.87,1.0,0.0,Private room in rental unit
144,Private room,450.0,0.0,65.0,1.0,4.33,1.0,0.0,Private room in rental unit
145,Private room,1114.0,0.0,100.0,1.0,5.0,1.0,0.0,Private room in rental unit
153,Private room,450.0,0.0,42.0,1.0,4.93,1.0,0.0,Private room in rental unit
154,Private room,430.0,0.0,65.0,1.0,4.73,1.0,0.0,Private room in rental unit
156,Private room,450.0,0.0,100.0,1.0,4.91,1.0,0.0,Private room in rental unit
161,Private room,350.0,0.0,42.0,1.0,4.74,1.0,0.0,Private room in rental unit
163,Private room,1114.0,0.0,99.0,1.0,5.0,0.0,0.0,Private room in home
164,Private room,2000.0,1.0,91.0,1.0,4.85,1.0,0.0,Room in boutique hotel
166,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
167,Private room,600.0,0.0,0.0,2.0,5.0,1.0,0.0,Private room in home
168,Private room,838.0,1.0,87.0,1.5,4.87,1.0,0.0,Private room in home
172,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
173,Private room,1200.0,0.0,67.0,1.0,4.91,1.0,0.0,Private room in guest suite
174,Private room,1618.0,1.0,98.0,1.0,5.0,1.0,1.0,Private room in home
177,Private room,250.0,0.0,0.0,1.5,5.0,1.0,0.0,Private room in rental unit
180,Private room,1114.0,1.0,100.0,2.0,4.72,1.0,0.0,Private room in guesthouse
182,Private room,850.0,0.0,19.0,2.0,4.31,1.0,0.0,Private room in rental unit
184,Private room,880.0,0.0,0.0,1.0,5.0,1.0,0.0,Private room in rental unit
185,Private room,3161.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in home
187,Private room,779.0,1.0,64.0,1.5,4.87,1.0,0.0,Private room in rental unit
188,Private room,287.0,0.0,99.0,2.5,4.8,1.0,0.0,Private room in home
191,Private room,650.0,1.0,90.0,1.0,4.69,1.0,0.0,Private room in rental unit
193,Private room,6066.0,0.0,33.0,1.5,4.8,1.0,0.0,Private room in rental unit
194,Private room,1114.0,1.0,100.0,1.5,4.94,1.0,0.0,Private room in home
197,Private room,910.0,0.0,99.0,1.0,4.68,1.0,0.0,Private room in rental unit
199,Private room,405.0,1.0,69.0,1.0,4.83,1.0,0.0,Private room in rental unit
205,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
207,Private room,1300.0,0.0,67.0,1.0,5.0,1.0,0.0,Private room in guest suite
208,Private room,1114.0,0.0,67.0,1.0,5.0,1.0,0.0,Private room in guest suite
209,Private room,600.0,0.0,100.0,1.0,4.94,0.0,0.0,Private room in rental unit
210,Private room,1114.0,0.0,99.0,1.0,5.0,0.0,0.0,Private room in home
214,Private room,770.0,0.0,91.0,1.0,5.0,1.0,0.0,Private room in condo
215,Private room,300.0,0.0,23.0,2.0,4.59,1.0,0.0,Private room in tiny home
216,Private room,1114.0,0.0,99.0,2.0,4.8,1.0,0.0,Private room in home
221,Private room,506.0,0.0,14.0,1.0,5.0,1.0,0.0,Private room in rental unit
223,Private room,985.0,0.0,100.0,1.0,4.93,1.0,0.0,Private room in rental unit
228,Private room,462.0,1.0,87.0,1.5,4.96,1.0,0.0,Private room in home
233,Private room,830.0,1.0,100.0,1.5,4.93,1.0,0.0,Private room in bed and breakfast
236,Private room,1114.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in rental unit
247,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in loft
251,Private room,607.0,0.0,78.0,1.0,4.87,1.0,0.0,Private room in rental unit
252,Private room,800.0,0.0,50.0,1.5,4.0,1.0,0.0,Private room in rental unit
253,Private room,3235.0,1.0,62.0,1.0,5.0,1.0,0.0,Private room in rental unit
258,Private room,600.0,1.0,100.0,1.0,5.0,1.0,1.0,Private room in home
261,Private room,1112.0,1.0,97.0,2.0,4.88,1.0,0.0,Private room in home
263,Private room,500.0,1.0,86.0,1.5,4.96,1.0,0.0,Private room in home
264,Private room,1114.0,0.0,99.0,1.5,4.73,0.0,0.0,Private room in loft
265,Private room,404.0,0.0,99.0,1.0,4.0,1.0,0.0,Private room in rental unit
272,Private room,809.0,0.0,100.0,2.0,4.8,1.0,1.0,Private room in rental unit
275,Private room,483.0,1.0,93.0,1.0,5.0,1.0,0.0,Private room in guest suite
278,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
283,Private room,700.0,0.0,73.0,1.0,4.8,1.0,0.0,Private room in home
286,Private room,750.0,0.0,67.0,1.0,4.67,1.0,0.0,Private room in home
287,Private room,1200.0,0.0,99.0,1.0,4.98,1.0,0.0,Private room in rental unit
289,Private room,600.0,0.0,0.0,1.0,5.0,1.0,0.0,Private room in guesthouse
291,Private room,428.0,0.0,14.0,1.5,4.67,1.0,0.0,Private room in home
292,Private room,1500.0,0.0,0.0,1.5,4.94,1.0,0.0,Private room in home
295,Private room,1092.0,0.0,100.0,2.0,3.67,1.0,0.0,Private room in rental unit
