,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
354,Shared room,303.0,0.0,100.0,2.0,4.7,1.0,0.0,Shared room in condo
2115,Shared room,2123.0,0.0,100.0,1.0,5.0,1.0,0.0,Shared room in rental unit
3163,Shared room,413.0,0.0,67.0,1.0,4.88,1.0,0.0,Shared room in rental unit
4035,Shared room,413.0,0.0,67.0,1.0,4.64,1.0,0.0,Shared room in rental unit
4270,Shared room,574.0,0.0,50.0,1.0,5.0,1.0,0.0,Shared room in condo
4740,Shared room,3000.0,0.0,99.0,1.0,4.8,1.0,0.0,Shared room in rental unit
4754,Shared room,345.0,0.0,99.0,1.5,4.34,1.0,1.0,Shared room in hostel
5004,Shared room,708.0,0.0,91.0,1.5,4.77,1.0,1.0,Shared room in home
5352,Shared room,318.0,0.0,99.0,1.0,4.83,1.0,1.0,Shared room in hostel
5929,Shared room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Shared room in home
7221,Shared room,514.0,0.0,99.0,1.0,4.9,1.0,1.0,Shared room in hotel
7375,Shared room,1900.0,0.0,100.0,0.0,4.93,1.0,1.0,Shared room in hostel
7444,Shared room,171.0,0.0,38.0,3.0,4.75,1.0,0.0,Shared room in home
7464,Shared room,7500.0,0.0,99.0,1.0,4.8,1.0,1.0,Shared room in rental unit
7477,Shared room,303.0,0.0,100.0,4.0,5.0,1.0,1.0,Shared room in hostel
7478,Shared room,314.0,0.0,100.0,4.0,4.54,1.0,1.0,Shared room in hostel
7931,Shared room,171.0,0.0,38.0,3.0,5.0,1.0,0.0,Shared room in home
8346,Shared room,333.0,0.0,100.0,4.0,4.62,1.0,1.0,Shared room in hostel
8395,Shared room,171.0,0.0,38.0,2.5,5.0,1.0,0.0,Shared room in home
8927,Shared room,6000.0,0.0,0.0,1.0,4.8,1.0,1.0,Shared room in serviced apartment
9967,Shared room,1643.0,0.0,60.0,1.0,4.6,1.0,0.0,Shared room in condo
10534,Shared room,257.0,0.0,100.0,3.0,4.33,1.0,1.0,Shared room in hostel
10946,Shared room,179.0,0.0,99.0,1.0,4.56,1.0,1.0,Shared room in hostel
11016,Shared room,250.0,0.0,87.0,1.5,4.83,1.0,1.0,Shared room in townhouse
11509,Shared room,250.0,0.0,87.0,1.5,4.82,1.0,1.0,Shared room in townhouse
11510,Shared room,250.0,0.0,87.0,1.5,4.83,1.0,1.0,Shared room in townhouse
11714,Shared room,552.0,0.0,94.0,4.0,4.86,1.0,1.0,Shared room in hostel
12543,Shared room,562.0,0.0,99.0,2.5,4.83,1.0,1.0,Shared room in bed and breakfast
12588,Shared room,590.0,0.0,99.0,2.5,4.78,1.0,1.0,Shared room in bed and breakfast
12592,Shared room,775.0,0.0,99.0,2.5,4.95,1.0,1.0,Shared room in bed and breakfast
12596,Shared room,590.0,0.0,99.0,2.5,4.9,1.0,1.0,Shared room in bed and breakfast
12598,Shared room,562.0,0.0,99.0,2.5,4.9,1.0,1.0,Shared room in bed and breakfast
12611,Shared room,742.0,0.0,99.0,2.5,4.92,1.0,1.0,Shared room in bed and breakfast
12622,Shared room,775.0,0.0,99.0,2.5,4.89,1.0,1.0,Shared room in bed and breakfast
13105,Shared room,133.0,0.0,98.0,2.5,4.27,1.0,1.0,Shared room in home
13161,Shared room,313.0,1.0,100.0,1.0,4.9,1.0,0.0,Shared room in hostel
13231,Shared room,243.0,1.0,100.0,1.0,4.78,1.0,0.0,Shared room in hostel
13261,Shared room,313.0,1.0,100.0,1.0,4.88,1.0,0.0,Shared room in hostel
13366,Shared room,313.0,1.0,100.0,1.0,4.92,1.0,0.0,Shared room in hostel
13375,Shared room,313.0,1.0,100.0,1.0,4.9,1.0,0.0,Shared room in hostel
